;Condit;Task;stim_file;coffee1.thisRepN;coffee1.thisTrialN;coffee1.thisN;coffee1.thisIndex;coffee2.thisRepN;coffee2.thisTrialN;coffee2.thisN;coffee2.thisIndex;key_resp_instructions.keys;key_resp_instructions.rt;key_resp_instructions.started;key_resp_instructions.stopped;image_instructions.started;image_instructions.stopped;polygon.started;polygon.stopped;key_resp.keys;key_resp.started;key_resp.stopped;image.started;image.stopped;key_resp.rt;participant;session;date;expName;psychopyVersion;frameRate;
;coffee_b;no-go;coffee2.png;;;;;0;5;5;28;;;;;;;113.86243633099366;114.37292781499855;None;114.6131886660005;None;114.6131886660005;115.1135569659964;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;go;water.png;;;;;0;6;6;3;;;;;;;116.38048608400277;116.89025193400448;space;117.13130429000012;116.15667861800466;117.13130429000012;None;0.3887836049980251;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;no-go;coffee2.png;;;;;0;7;7;22;;;;;;;117.79764308300219;118.30978220900579;space;118.54300469899317;None;118.54300469899317;None;0.3050752920098603;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;go;water.png;;;;;0;8;8;14;;;;;;;119.13135170799796;119.64244343999599;space;119.88226016500266;None;119.88226016500266;None;0.33388095699774567;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;go;water.png;;;;;0;9;9;11;;;;;;;120.49857249799243;121.00640214400482;space;121.2490865120053;None;121.2490865120053;None;0.40703716600546613;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;no-go;coffee2.png;;;;;0;10;10;23;;;;;;;121.93293728899152;122.44089155299298;None;122.68351846700534;None;122.68351846700534;123.18429922299401;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;no-go;coffee2.png;;;;;0;11;11;29;;;;;;;124.42821844499849;124.93918427500466;None;125.18523893499514;124.20053512099548;125.18523893499514;125.68528195000545;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;no-go;coffee2.png;;;;;0;12;12;25;;;;;;;126.93504098799895;127.4430517419969;None;127.68586482699902;126.7049158699956;127.68586482699902;128.18567171999894;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;no-go;coffee2.png;;;;;0;13;13;18;;;;;;;129.43168973599677;129.9355049799924;None;130.18129438499454;129.20223643099598;130.18129438499454;130.68670234699675;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;no-go;coffee2.png;;;;;0;14;14;15;;;;;;;131.91587049599912;132.4200174879952;None;132.66581462399336;131.68675055100175;132.66581462399336;133.17135247999977;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;no-go;coffee2.png;;;;;0;15;15;26;;;;;;;134.400584463001;134.90436051199504;None;135.15040032900288;134.17112873999577;135.15040032900288;135.65574634900258;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;go;water.png;;;;;0;16;16;13;;;;;;;136.91828440300014;137.42237474600552;space;137.66824611999618;136.67841728699568;137.66824611999618;None;0.429386356001487;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_b;go;water.png;;;;;0;17;17;9;;;;;;;138.4025204089994;138.90747129400552;space;139.15244585300388;None;139.15244585300388;None;0.3531533609930193;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
